Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2011,D,Kazan,4,Panathinaikos,2,0,0
2011,D,Copenhagen,3,Barcelona,1,1,1
2011,D,Kazan,1,Copenhagen,3,1,0
2011,D,Panathinaikos,2,Barcelona,1,0,3
2011,D,Barcelona,1,Kazan,4,2,0
2011,D,Copenhagen,3,Panathinaikos,2,3,1
2011,E,Bayern,1,Roma,2,2,0
2011,E,Cluj,4,Basel,3,2,1
2011,E,Basel,3,Bayern,1,1,2
2011,E,Roma,2,Cluj,4,2,1
2011,E,Roma,2,Basel,3,1,3
2011,E,Bayern,1,Cluj,4,3,2
2011,E,Basel,3,Roma,2,2,3
2011,E,Cluj,4,Bayern,1,0,4
2011,E,Roma,2,Bayern,1,3,2
2011,E,Basel,3,Cluj,4,1,0
2011,E,Bayern,1,Basel,3,3,0
2011,E,Cluj,4,Roma,2,1,1
2011,F,Marseille,2,Spartak,3,0,1
2011,F,Zilina,4,Chelsea,1,1,4
2011,F,Spartak,3,Zilina,4,3,0
2011,F,Chelsea,1,Marseille,2,2,0
2011,F,Spartak,3,Chelsea,1,0,2
2011,F,Marseille,2,Zilina,4,1,0
2011,F,Chelsea,1,Spartak,3,4,1
2011,F,Zilina,4,Marseille,2,0,7
2011,F,Spartak,3,Marseille,2,0,3
2011,F,Chelsea,1,Zilina,4,2,1
2011,F,Marseille,2,Chelsea,1,1,0
2011,F,Zilina,4,Spartak,3,1,2
2011,G,R.Madrid,2,Ajax,3,2,0
2011,G,Milan,1,Auxerre,4,2,0
2011,G,Auxerre,4,R.Madrid,2,0,1
2011,G,Ajax,3,Milan,1,1,1
2011,G,Ajax,3,Auxerre,4,2,1
2011,G,R.Madrid,2,Milan,1,2,0
2011,G,Auxerre,4,Ajax,3,2,1
2011,G,Milan,1,R.Madrid,2,2,2
2011,G,Ajax,3,R.Madrid,2,0,4
2011,G,Auxerre,4,Milan,1,0,2
2011,G,R.Madrid,2,Auxerre,4,4,0
2011,G,Milan,1,Ajax,3,0,2
2011,H,Arsenal,1,Braga,3,6,0
2011,H,Donetsk,2,Partizan,4,1,0
2011,H,Partizan,4,Arsenal,1,1,3
2011,H,Braga,3,Donetsk,2,0,3
2011,H,Braga,3,Partizan,4,2,0
2011,H,Arsenal,1,Donetsk,2,5,1
2011,H,Partizan,4,Braga,3,0,1
2011,H,Donetsk,2,Arsenal,1,2,1
2011,H,Braga,3,Arsenal,1,2,0
2011,H,Partizan,4,Donetsk,2,0,3
2011,H,Arsenal,1,Partizan,4,3,1
2011,H,Donetsk,2,Braga,3,2,0
2010,A,Juventus,2,Bordeaux,3,1,1
2010,A,Haifa,4,Bayern,1,0,3
2010,A,Bayern,1,Juventus,2,0,0
2010,A,Bordeaux,3,Haifa,4,1,0
2010,A,Bordeaux,3,Bayern,1,2,1
2010,A,Juventus,2,Haifa,4,1,0
2010,A,Bayern,1,Bordeaux,3,0,2
2010,A,Haifa,4,Juventus,2,0,1
2010,A,Bordeaux,3,Juventus,2,2,0
2010,A,Bayern,1,Haifa,4,1,0
2010,A,Juventus,2,Bayern,1,1,4
2010,A,Haifa,4,Bordeaux,3,0,1
2010,B,Wolfsburg,4,CSKA.Moscow,2,3,1
2010,B,Besiktas,3,Man.Utd,1,0,1
2010,B,CSKA.Moscow,2,Besiktas,3,2,1
2010,B,Man.Utd,1,Wolfsburg,4,2,1
2010,B,CSKA.Moscow,2,Man.Utd,1,0,1
2010,B,Wolfsburg,4,Besiktas,3,0,0
2010,B,Man.Utd,1,CSKA.Moscow,2,3,3
2010,B,Besiktas,3,Wolfsburg,4,0,3
2010,B,CSKA.Moscow,2,Wolfsburg,4,2,1
2010,B,Man.Utd,1,Besiktas,3,0,1
2010,B,Wolfsburg,4,Man.Utd,1,1,3
2010,B,Besiktas,3,CSKA.Moscow,2,1,2
2010,C,Zurich,4,R.Madrid,2,2,5
2010,C,Marseille,3,Milan,1,1,2
2010,C,Milan,1,Zurich,4,0,1
2010,C,R.Madrid,2,Marseille,3,3,0
2010,C,R.Madrid,2,Milan,1,2,3
2010,C,Zurich,4,Marseille,3,0,1
2010,C,Milan,1,R.Madrid,2,1,1
2010,C,Marseille,3,Zurich,4,6,1
2010,C,R.Madrid,2,Zurich,4,1,0
2010,C,Milan,1,Marseille,3,1,1
2010,C,Zurich,4,Milan,1,1,1
2010,C,Marseille,3,R.Madrid,2,1,3
2010,D,Chelsea,1,Porto,2,1,0
2010,D,At.Madrid,3,APOEL,4,0,0
2010,D,APOEL,4,Chelsea,1,0,1
2010,D,Porto,2,At.Madrid,3,2,0
2010,D,Porto,2,APOEL,4,2,1
2010,D,Chelsea,1,At.Madrid,3,4,0
2010,D,APOEL,4,Porto,2,0,1
2010,D,At.Madrid,3,Chelsea,1,2,2
2010,D,Porto,2,Chelsea,1,0,1
2010,D,APOEL,4,At.Madrid,3,1,1
2010,D,Chelsea,1,APOEL,4,2,2
2010,D,At.Madrid,3,Porto,2,0,3
2010,E,Liverpool,1,Debrecen,4,1,0
2010,E,Lyon,2,Fiorentina,3,1,0
2010,E,Fiorentina,3,Liverpool,1,2,0
2010,E,Debrecen,4,Lyon,2,0,4
2010,E,Debrecen,4,Fiorentina,3,3,4
